j,l,trajectory,M,S,D
198,1,"1 1 4 -1 4 4 1 4 -1 4 -1 -4",6,1,-256
199,1,"1 2 4 -1 3 3 4 -2 4 -3 -3 4",48,1,128
200,1,"1 2 -1 -2 4 4 3 4 -3 -3 4 3",48,1,-128
201,1,"1 2 4 3 4 2 -1 4 -2 -3 4 -2",48,1,-64
202,1,"1 2 3 4 -3 -2 4 -1 3 4 4 -3",48,1,128
203,1,"1 2 4 3 4 4 -3 -1 4 4 -2 -4",48,1,-128
204,1,"1 2 -1 4 4 2 3 4 -2 -2 -3 4",48,1,0
205,1,"1 2 -1 -4 2 4 -2 -2 4 4 4 4",24,1,512
206,1,"1 2 2 3 4 -2 -3 -2 4 -1 4 4",48,1,128
207,1,"1 2 4 -2 3 4 -2 -1 4 2 -3 4",48,1,64
208,1,"1 2 3 -2 4 3 -1 -3 4 4 4 -3",48,1,-128
209,1,"1 2 3 4 -1 3 4 -2 4 -3 -3 4",48,1,128
210,1,"1 2 2 3 4 4 -3 4 4 -1 -2 -2",48,1,-256
211,1,"1 2 -1 2 4 4 4 3 -2 -3 4 -2",48,1,0
212,1,"1 2 4 -1 4 3 -4 -2 -3 4 4 4",48,1,-128
213,1,"1 2 3 4 -1 -3 -3 4 3 4 4 -2",48,1,-128
214,1,"1 4 2 4 2 4 -1 -4 -2 4 4 -2",24,1,-128
215,1,"1 2 3 4 3 4 -2 -3 -1 4 -3 4",48,1,64
216,1,"1 4 2 -1 4 4 -2 4 2 -4 -2 4",24,1,-128
217,1,"1 2 4 3 3 -2 -1 4 4 -3 4 -3",48,1,0
218,1,"1 2 2 4 -2 4 -2 -1 4 2 4 -2",24,1,128
219,1,"1 2 3 4 4 -1 -2 4 -3 2 4 -2",48,1,-128
220,1,"1 2 1 4 -1 2 -1 4 4 4 -2 -2",24,1,256
221,1,"1 2 1 4 -1 4 4 -2 -1 2 4 -2",24,1,128
222,1,"1 2 4 4 -2 -1 4 4 2 -4 -2 4",24,1,-256
223,1,"1 2 2 -1 4 -1 -2 4 -2 4 4 1",24,1,-256
224,1,"1 2 -4 2 -1 4 4 -2 4 4 -2 4",24,1,0
225,1,"1 4 4 2 -1 -4 -2 4 2 4 4 -2",24,1,-256
226,1,"1 2 4 3 -2 -3 4 -3 4 4 -1 3",48,1,128
227,1,"1 2 1 -2 4 -1 4 -2 -1 2 4 4",24,1,-128
228,1,"1 2 3 3 4 -2 4 -3 4 -1 4 -3",48,1,0
