j,trajectory,M,S,D
4081,"1 2 3 4 -1 2 -4 -2 -4 -3 -2 4",384,1,-64
4082,"1 2 3 4 2 -3 4 -2 -1 -4 -2 -4",384,1,-128
4083,"1 2 3 4 -2 -4 -3 4 -3 -1 3 -4",384,1,64
4084,"1 2 3 4 3 -1 -3 4 -2 -4 -4 -3",384,1,0
4085,"1 2 3 -2 4 3 -1 -3 4 -3 -4 -4",384,1,0
4086,"1 2 3 4 -2 -2 -3 2 4 -1 -4 -4",384,1,128
4087,"1 2 3 4 -3 -1 -2 -4 -3 4 3 -4",192,1,64
4088,"1 2 3 4 -3 -2 -4 -2 4 -1 -4 2",384,1,0
4089,"1 2 3 4 -1 4 -3 -4 -4 -3 -2 3",384,1,0
4090,"1 2 3 4 -3 -2 -4 -4 -3 4 -1 3",384,1,128
4091,"1 2 3 4 -1 3 4 -3 -4 -2 -3 -4",192,1,0
4092,"1 2 3 4 4 -2 -1 -4 2 -3 -4 -2",384,1,-128
4093,"1 2 3 4 3 -2 -4 -4 -1 -3 4 -3",192,1,-128
4094,"1 2 3 4 3 -4 -2 4 -3 -3 -1 -4",384,1,0
4095,"1 2 3 4 3 -2 -4 -3 2 -3 -1 -2",384,1,64
4096,"1 2 3 4 -2 -4 -3 -4 2 4 -1 -2",384,1,64
4097,"1 2 3 4 4 -2 -1 2 -4 -4 -3 -2",192,1,-256
4098,"1 2 3 4 -2 3 -4 -3 -3 -2 -1 2",384,1,0
4099,"1 2 3 4 -1 2 -4 -3 -4 -2 -2 4",384,1,-128
4100,"1 2 3 4 2 -3 4 -2 -1 -2 -4 -4",384,1,-128
4101,"1 2 3 4 3 -2 4 -1 -3 -4 -4 -3",384,1,-128
4102,"1 2 3 4 -2 -1 4 -2 -3 2 -4 -4",384,1,-128
4103,"1 2 3 -2 4 -3 4 3 -1 -3 -4 -4",384,1,0
4104,"1 2 3 4 2 3 -2 -4 -3 -3 -1 -2",384,1,0
4105,"1 2 3 4 -2 4 -2 -3 -4 -1 -4 2",192,1,-128
4106,"1 2 3 4 3 4 -1 -4 -3 -3 -2 -4",384,1,-128
4107,"1 2 3 4 4 -2 -3 -4 2 -4 -1 -2",384,1,128
4108,"1 2 3 4 3 4 -3 -3 -4 -2 -1 -4",384,1,-128
4109,"1 2 3 4 -2 -4 -4 -3 2 4 -1 -2",384,1,128
4110,"1 2 3 4 3 4 -3 -1 -4 -3 -2 -4",384,1,-128
4111,"1 2 3 4 -2 -1 -4 -3 4 3 -4 -3",192,1,128
4112,"1 2 3 4 -2 -3 -2 -4 3 2 -1 -3",192,1,0
4113,"1 2 3 4 -1 2 4 -2 -3 -4 -2 -4",384,1,-64
4114,"1 2 3 4 -1 -4 2 4 -3 -2 -4 -2",384,1,0
4115,"1 2 3 4 -1 -2 -4 -4 3 4 -3 -3",192,1,256
4116,"1 2 3 4 4 -2 -2 -3 -4 -1 -4 2",192,1,-256
4117,"1 2 3 -1 4 3 -2 4 -3 -3 -4 -4",384,1,-256
4118,"1 2 3 4 2 4 -1 -2 -3 -4 -2 -4",192,1,-64
4119,"1 2 3 4 -2 -2 -3 -4 3 2 -1 -3",384,1,0
4120,"1 2 3 4 -2 -3 -4 -4 2 -1 4 -2",384,1,128
4121,"1 2 3 -2 4 4 3 -4 -4 -1 -3 -3",384,1,0
4122,"1 2 3 4 -1 2 4 -2 -3 -2 -4 -4",384,1,0
4123,"1 2 3 4 -1 -4 2 4 -3 -4 -2 -2",384,1,-128
4124,"1 2 3 2 4 -1 -4 -2 4 -3 -4 -2",384,1,0
4125,"1 2 3 4 -2 -1 4 -3 -4 -3 -4 3",192,1,-128
4126,"1 2 3 4 -1 -4 -3 -3 -2 -4 3 4",384,1,0
4127,"1 2 3 4 2 -4 -3 4 -2 -4 -1 -2",384,1,64
4128,"1 2 3 4 4 -2 -1 3 -4 -4 -3 -3",384,1,-256
4129,"1 2 3 4 3 -2 4 -3 -4 -3 -1 -4",384,1,-64
4130,"1 2 3 4 2 -4 -1 -2 -4 -3 -2 4",384,1,-64
4131,"1 2 3 4 -3 -4 -1 4 -3 -4 3 -2",192,1,0
4132,"1 2 3 4 -3 -3 -4 3 -2 -4 -1 4",384,1,0
4133,"1 2 3 4 2 -4 3 -2 -3 -2 -1 -3",384,1,0
4134,"1 2 3 4 2 4 -1 -2 -3 -2 -4 -4",384,1,-128
4135,"1 2 3 4 -3 -3 4 3 -1 -4 -2 -4",384,1,0
4136,"1 2 3 4 -3 4 -3 -4 -4 3 -1 -2",384,1,128
4137,"1 2 3 4 4 -1 -4 -2 -3 2 -4 -2",384,1,128
4138,"1 2 3 4 -2 -1 4 -3 -3 -4 -4 3",192,1,-256
4139,"1 2 3 4 -2 -1 -4 2 -3 4 -2 -4",384,1,64
4140,"1 2 3 4 3 -4 -4 -3 -2 4 -1 -3",384,1,0
4141,"1 2 3 4 -2 -4 -3 -2 -4 -1 4 2",384,1,0
4142,"1 2 3 4 3 -2 4 -3 -3 -4 -1 -4",384,1,-128
4143,"1 2 3 4 3 -2 -4 -1 -4 -3 4 -3",384,1,-64
4144,"1 2 3 4 3 4 -3 -3 -2 -4 -1 -4",384,1,-128
4145,"1 2 3 4 -1 3 4 -3 -2 -4 -3 -4",384,1,0
4146,"1 2 3 4 -1 3 -4 -3 -2 -4 -3 4",384,1,0
4147,"1 2 3 4 2 -4 3 -2 -2 -3 -1 -3",384,1,0
4148,"1 2 3 4 -2 -2 3 -4 2 -3 -1 -3",384,1,0
4149,"1 2 3 -2 -3 4 4 3 -1 -3 -4 -4",384,1,128
4150,"1 2 3 -2 3 -1 4 4 -3 -3 -4 -4",384,1,-256
4151,"1 2 3 4 -2 -3 -4 2 -4 -2 -1 4",384,1,128
4152,"1 2 3 2 -3 -2 4 4 -1 -4 -4 -2",384,1,0
4153,"1 2 3 4 -2 -3 -3 -1 4 3 -4 -4",384,1,128
4154,"1 2 3 -2 4 2 -4 3 -2 -3 -1 -3",384,1,64
4155,"1 2 3 4 -2 -3 -4 2 4 -1 -2 -4",192,1,128
4156,"1 2 3 3 4 -1 4 -2 -3 -3 -4 -4",384,1,-256
4157,"1 2 3 4 -3 -2 4 -3 -1 3 -4 -4",384,1,-128
4158,"1 2 3 4 3 4 -3 -1 -3 -4 -4 -2",384,1,0
4159,"1 2 3 4 -1 3 4 -3 -2 -3 -4 -4",384,1,0
4160,"1 2 3 -2 -3 -1 -3 4 4 3 -4 -4",384,1,128
4161,"1 2 3 4 -3 -2 3 -4 -1 -4 -3 4",384,1,-64
4162,"1 2 3 4 -3 -4 -3 -2 3 -4 -1 4",384,1,64
4163,"1 2 3 4 -3 4 -3 -1 -4 3 -2 -4",384,1,0
4164,"1 2 3 4 -1 4 -3 -4 -2 -3 -4 3",384,1,-64
4165,"1 2 3 4 -2 -3 2 -4 -4 -2 -1 4",384,1,128
4166,"1 2 3 4 -3 -4 -2 -1 4 3 -4 -3",96,1,-128
4167,"1 2 3 4 3 -4 2 -3 -2 -1 -3 -2",384,1,64
4168,"1 2 3 4 2 -3 -2 -4 -1 4 -2 -4",384,1,64
4169,"1 2 3 4 -2 -2 -4 -3 2 3 -1 -3",384,1,128
4170,"1 2 3 4 -3 -2 -4 3 -4 -3 -1 4",384,1,64
4171,"1 2 3 4 -3 -3 -1 -2 -4 -4 3 4",192,1,128
4172,"1 2 3 3 4 -3 -2 4 -3 -1 -4 -4",384,1,-128
4173,"1 2 3 4 3 -4 -3 -2 -3 2 -1 -2",384,1,0
4174,"1 2 3 4 3 4 -1 -3 -2 -3 -4 -4",384,1,-128
4175,"1 2 3 4 3 4 -1 -3 -4 -4 -2 -3",384,1,0
4176,"1 2 3 4 3 -1 -2 4 -3 -4 -3 -4",384,1,-64
4177,"1 2 3 4 3 4 -3 -2 -3 -4 -1 -4",384,1,-64
4178,"1 2 3 4 -3 -2 3 -1 -4 -4 -3 4",384,1,0
4179,"1 2 3 4 -3 -3 -4 -2 3 -4 -1 4",384,1,128
4180,"1 2 3 4 4 -3 -3 -1 -4 3 -2 -4",384,1,0
4181,"1 2 3 4 2 -4 -1 -4 -2 4 -3 -2",192,1,0
4182,"1 2 3 4 -1 -2 -4 -4 -2 4 -3 2",384,1,0
4183,"1 2 3 -1 -3 -3 4 2 -4 3 -2 -2",384,1,256
4184,"1 2 3 4 -3 -1 4 -3 -4 -4 -2 3",384,1,0
4185,"1 2 3 -1 4 -3 4 -3 -2 3 -4 -4",384,1,-128
4186,"1 2 3 4 4 -3 2 -4 -2 -1 -4 -2",384,1,0
4187,"1 2 3 4 -2 -3 -4 -2 3 2 -1 -3",384,1,0
4188,"1 2 3 4 -1 -2 -4 2 -3 4 -2 -4",192,1,64
4189,"1 2 3 4 -3 -1 3 4 -3 -4 -2 -4",384,1,64
4190,"1 2 3 4 -3 -2 3 -4 -4 -3 -1 4",384,1,0
4191,"1 2 3 4 -2 -1 -4 2 -4 -3 -2 4",192,1,-64
4192,"1 2 3 4 -2 -1 -4 -4 -2 -3 4 2",384,1,0
4193,"1 2 3 4 3 -4 -2 -1 4 -3 -4 -3",192,1,-128
4194,"1 2 3 4 4 -3 -4 -2 -4 2 -1 -2",384,1,128
4195,"1 2 3 4 -2 -3 -4 2 3 -1 -3 -2",192,1,128
4196,"1 2 3 4 -2 3 -4 -3 4 -1 -3 -4",384,1,64
4197,"1 2 3 4 3 -1 -2 4 -3 -3 -4 -4",384,1,-128
4198,"1 2 3 -2 3 4 -1 4 -3 -3 -4 -4",384,1,-128
4199,"1 2 3 4 -3 -4 2 -4 -1 -2 4 -2",384,1,64
4200,"1 2 3 4 -2 -3 4 -2 -4 -4 -1 2",384,1,0
4201,"1 2 3 4 2 -1 -4 -4 -2 4 -3 -2",384,1,0
4202,"1 2 3 4 -2 -1 -4 -3 -4 -2 4 2",192,1,64
4203,"1 2 3 4 -2 -4 -1 3 -4 -3 4 -3",384,1,-64
4204,"1 2 3 3 4 4 -1 -2 -3 -3 -4 -4",96,1,-256
4205,"1 2 3 3 4 4 -2 -3 -3 -1 -4 -4",384,1,-256
4206,"1 2 3 4 -3 -2 -1 -4 -3 4 3 -4",192,1,128
4207,"1 2 3 4 -3 -1 3 4 -3 -4 -4 -2",384,1,128
4208,"1 2 3 -1 -3 4 -3 -4 3 -4 -2 4",192,1,-64
4209,"1 2 3 4 -2 -1 2 -4 -4 -3 -2 4",384,1,-128
4210,"1 2 3 4 -2 -3 -4 -3 -4 -1 3 4",192,1,64
4211,"1 2 3 4 -3 -1 -4 -3 -4 3 4 -2",384,1,64
4212,"1 2 3 4 -1 4 -3 -4 2 -4 -2 -2",384,1,0
4213,"1 2 3 2 4 4 -3 -4 -1 -4 -2 -2",192,1,0
4214,"1 2 3 4 -3 -3 -2 4 3 -1 -4 -4",384,1,-128
4215,"1 2 3 2 4 -2 -3 -4 -4 -1 4 -2",384,1,128
4216,"1 2 3 -2 -3 4 3 -4 -3 -4 -1 4",384,1,-64
4217,"1 2 3 4 -1 -4 -3 -3 -2 4 3 -4",384,1,0
4218,"1 2 3 4 -2 -4 2 4 -3 -4 -1 -2",384,1,-64
4219,"1 2 3 4 -3 -4 2 -4 -1 4 -2 -2",384,1,128
4220,"1 2 3 4 -1 -3 -2 -3 4 3 -4 -4",384,1,128
4221,"1 2 3 4 3 -2 4 -1 -4 -3 -4 -3",384,1,-64
4222,"1 2 3 4 -3 -3 -1 -2 4 3 -4 -4",192,1,-128
4223,"1 2 3 4 -2 -4 -1 3 -4 -3 -3 4",384,1,-128
4224,"1 2 3 4 -1 3 -2 -4 -3 4 -3 -4",384,1,0
4225,"1 2 3 -1 4 -3 -3 -4 3 -4 -2 4",384,1,0
4226,"1 2 3 4 -1 -3 -2 -4 -3 -4 3 4",384,1,0
4227,"1 2 3 -2 3 -1 4 -3 4 -3 -4 -4",384,1,-128
4228,"1 2 3 4 -2 -3 -3 -4 -4 -1 3 4",192,1,128
4229,"1 2 3 4 -3 -1 -3 -4 -4 3 4 -2",384,1,0
4230,"1 2 3 -1 3 4 4 -3 -2 -3 -4 -4",384,1,-128
4231,"1 2 3 4 -2 -2 -3 4 2 -4 -1 -4",384,1,0
4232,"1 2 3 4 -3 4 3 -1 -4 -3 -2 -4",384,1,0
4233,"1 2 3 -2 4 -3 -3 -4 3 4 -1 -4",384,1,0
4234,"1 2 3 4 -1 -4 -4 3 4 -3 -2 -3",384,1,128
4235,"1 2 3 4 3 -2 4 -1 -4 -4 -3 -3",384,1,-128
4236,"1 2 3 4 -2 -3 4 -1 -4 3 -4 -3",384,1,-64
4237,"1 2 3 4 3 4 -1 -4 -4 -3 -2 -3",384,1,-128
4238,"1 2 3 4 3 -4 -2 -3 -4 -3 -1 4",384,1,-64
4239,"1 2 3 4 -1 -4 -3 -4 -2 3 4 -3",384,1,64
4240,"1 2 3 4 -3 -4 -2 -2 4 -1 -4 2",384,1,0
4241,"1 2 3 4 3 4 -3 -4 -3 -4 -1 -2",192,1,64
4242,"1 2 3 4 -1 -3 -2 -3 -4 -4 3 4",384,1,0
4243,"1 2 3 4 -3 -3 -4 3 -1 4 -2 -4",384,1,128
4244,"1 2 3 4 -3 4 -2 -3 -4 -4 -1 3",384,1,0
4245,"1 2 3 3 4 -3 4 -1 -3 -2 -4 -4",384,1,-256
4246,"1 2 3 4 3 -4 -4 -3 -1 4 -2 -3",384,1,0
4247,"1 2 3 4 -2 3 2 -4 -2 -3 -1 -3",384,1,-64
4248,"1 2 3 4 4 3 -1 -3 -3 -2 -4 -4",384,1,-256
4249,"1 2 3 4 3 4 -3 -4 -4 -1 -2 -3",384,1,128
4250,"1 2 3 -1 -2 -2 4 3 2 -4 -3 -3",96,1,256
4251,"1 2 3 -1 -3 4 4 -3 -2 3 -4 -4",384,1,-128
4252,"1 2 3 4 2 -1 -4 -4 -3 -2 -2 4",384,1,-128
4253,"1 2 3 4 2 -4 -3 -2 -1 4 -2 -4",192,1,0
4254,"1 2 3 4 4 -3 2 -4 -2 -4 -1 -2",384,1,0
4255,"1 2 3 4 -2 -4 -3 2 4 -2 -1 -4",384,1,128
4256,"1 2 3 4 3 -4 -2 -4 -3 -3 -1 4",384,1,-128
4257,"1 2 3 4 -1 -4 -4 -3 -2 3 4 -3",384,1,0
4258,"1 2 3 4 3 4 -3 -3 -4 -4 -1 -2",384,1,128
4259,"1 2 3 4 2 -3 -4 -2 3 -2 -1 -3",384,1,128
4260,"1 2 3 -2 4 -3 -3 4 3 -4 -1 -4",384,1,128
4261,"1 2 3 4 -2 3 -1 -3 -4 -4 -3 4",384,1,0
4262,"1 2 3 4 4 -3 -2 -4 -1 2 -4 -2",384,1,-128
4263,"1 2 3 4 -2 -3 -4 3 4 -1 -3 -4",192,1,64
4264,"1 2 3 4 3 4 -3 -2 -3 -1 -4 -4",384,1,-128
4265,"1 2 3 4 4 3 -1 -3 -3 -4 -4 -2",384,1,-256
4266,"1 2 3 4 2 -1 -2 -4 -3 4 -2 -4",384,1,-64
4267,"1 2 3 -1 -3 -2 -3 4 4 3 -4 -4",384,1,128
4268,"1 2 3 2 4 -1 -4 -4 -3 4 -2 -2",384,1,0
4269,"1 2 3 4 -3 -4 -2 -2 -4 -1 4 2",384,1,0
4270,"1 2 3 4 2 -3 -4 -2 -3 -1 -2 3",96,1,-128
4271,"1 2 3 4 -2 -3 -4 3 4 -3 -1 -4",384,1,64
4272,"1 2 3 4 -2 -2 4 -3 2 -1 -4 -4",192,1,0
4273,"1 2 3 4 -3 -4 -2 4 -1 2 -4 -2",384,1,-64
4274,"1 2 3 4 -2 4 -2 -4 -3 -4 -1 2",384,1,-64
4275,"1 2 3 4 2 -3 -4 -2 -2 3 -1 -3",384,1,128
4276,"1 2 3 4 -1 -4 -2 -4 2 4 -3 -2",384,1,0
4277,"1 2 3 4 2 -1 -2 -4 -3 -4 -2 4",384,1,-64
4278,"1 2 3 4 -3 -3 4 3 -4 -4 -1 -2",384,1,-128
4279,"1 2 3 4 4 3 -4 -4 -3 -2 -1 -3",384,1,0
4280,"1 2 3 4 -1 -3 -3 4 3 -4 -2 -4",384,1,128
4281,"1 2 3 4 -2 -4 -3 -3 -1 2 3 -2",384,1,128
4282,"1 2 3 4 4 -3 2 -4 -1 -2 -4 -2",384,1,0
4283,"1 2 3 -2 4 -1 -4 -3 4 2 -4 -2",192,1,128
4284,"1 2 3 4 -3 -4 -1 4 2 -4 -2 -2",384,1,-128
4285,"1 2 3 4 4 -1 -2 -2 -3 2 -4 -4",384,1,0
4286,"1 2 3 -1 4 4 -3 -3 -4 -4 -2 3",192,1,-256
4287,"1 2 3 3 -1 -3 -3 4 4 -2 -4 -4",192,1,-256
4288,"1 2 3 4 -3 4 -1 -2 -2 -4 -4 2",384,1,-128
4289,"1 2 3 4 -2 -4 -3 -4 2 -1 4 -2",384,1,64
4290,"1 2 3 4 -1 -2 -4 -4 2 4 -3 -2",384,1,0
4291,"1 2 3 4 -2 -4 -3 -4 -2 4 -1 2",384,1,64
4292,"1 2 3 3 4 4 -1 -3 -3 -2 -4 -4",384,1,-512
4293,"1 2 3 4 -2 3 -4 -2 -3 -3 -1 2",384,1,-128
4294,"1 2 3 4 2 -1 -2 -3 -4 -4 -2 4",384,1,0
4295,"1 2 3 4 -3 -3 4 -1 -4 3 -2 -4",384,1,0
4296,"1 2 3 4 -2 -3 -4 -4 -3 -1 4 3",192,1,128
4297,"1 2 3 4 4 -3 -1 -2 -3 -4 -4 3",96,1,0
4298,"1 2 3 4 4 -1 -2 -4 -2 -3 -4 2",384,1,-128
4299,"1 2 3 4 -1 4 -3 -2 -4 -3 -4 3",384,1,-64
4300,"1 2 3 4 3 -1 -4 -4 -2 4 -3 -3",384,1,-128
4301,"1 2 3 -2 4 4 3 -1 -3 -3 -4 -4",384,1,0
4302,"1 2 3 4 -1 2 4 -2 -4 -3 -2 -4",384,1,64
4303,"1 2 3 4 -2 -3 2 -1 4 -2 -4 -4",384,1,128
4304,"1 2 3 -1 -3 -3 4 3 -4 -4 -2 4",192,1,128
4305,"1 2 3 4 -3 -3 -1 4 -2 -4 -4 3",384,1,128
4306,"1 2 3 2 4 -2 4 -3 -4 -1 -4 -2",384,1,0
4307,"1 2 3 4 3 -4 -4 -3 4 -2 -1 -3",384,1,128
4308,"1 2 3 4 -3 -2 -4 -4 -1 3 4 -3",192,1,128
4309,"1 2 3 4 -3 -2 -3 4 3 -1 -4 -4",384,1,0
4310,"1 2 3 4 -3 -3 -2 -1 -4 -4 3 4",192,1,0
4311,"1 2 3 4 2 -3 -1 -2 -3 -4 -2 3",96,1,-64
4312,"1 2 3 4 3 -2 -1 -3 4 -3 -4 -4",384,1,-128
4313,"1 2 3 4 -1 -2 -3 -3 4 3 -4 -4",192,1,128
4314,"1 2 3 4 -1 4 -3 -2 -3 -4 -4 3",384,1,-128
4315,"1 2 3 4 -2 -2 -3 -4 2 4 -1 -4",384,1,128
4316,"1 2 3 4 4 -1 -2 -4 -4 2 -3 -2",384,1,-128
4317,"1 2 3 4 -2 -3 -1 2 3 -4 -2 -3",48,1,64
4318,"1 2 3 2 4 -2 -4 -3 4 -1 -4 -2",384,1,0
4319,"1 2 3 4 4 -3 -1 -3 -4 -4 3 -2",192,1,0
4320,"1 2 3 2 4 -2 4 -3 -4 -4 -1 -2",384,1,0
4321,"1 2 3 4 -3 -4 3 4 -1 -3 -2 -4",384,1,128
4322,"1 2 3 4 4 -1 2 -4 -3 -4 -2 -2",384,1,-128
4323,"1 2 3 4 -2 -3 -4 3 2 -1 -2 -3",192,1,64
4324,"1 2 3 4 -1 4 3 -4 -2 -3 -4 -3",384,1,-64
4325,"1 2 3 4 -3 -4 -1 3 -4 -3 4 -2",384,1,-64
4326,"1 2 3 4 3 -2 -3 -4 -1 -4 -3 4",384,1,-64
4327,"1 2 3 4 -3 -2 4 -2 -1 2 -4 -4",384,1,-128
4328,"1 2 3 4 3 -4 -3 -2 -3 -2 -1 2",192,1,0
4329,"1 2 3 4 -2 -1 -4 3 -4 -3 4 -3",192,1,-128
4330,"1 2 3 4 -2 -4 -1 4 3 -4 -3 -3",384,1,0
4331,"1 2 3 -1 3 4 4 -3 -3 -4 -4 -2",384,1,0
4332,"1 2 3 2 -1 -2 4 4 -3 -4 -4 -2",192,1,0
4333,"1 2 3 4 -2 -3 -4 -3 -2 -1 3 2",192,1,64
4334,"1 2 3 4 -1 -4 -4 -3 4 -3 -2 3",384,1,-128
4335,"1 2 3 4 2 4 -3 -2 -4 -1 -2 -4",384,1,0
4336,"1 2 3 4 3 -4 -3 -2 -3 -4 -1 4",384,1,-64
4337,"1 2 3 4 3 -4 -4 -2 -1 4 -3 -3",384,1,-256
4338,"1 2 3 4 2 4 -3 -4 -4 -1 -2 -2",384,1,128
4339,"1 2 3 4 -1 4 3 -4 -2 -4 -3 -3",384,1,0
4340,"1 2 3 4 -3 -2 -3 4 -1 -4 -4 3",384,1,0
4341,"1 2 3 4 -3 -3 -2 -1 4 3 -4 -4",192,1,0
4342,"1 2 3 4 3 -4 -3 -3 -2 -2 -1 2",192,1,0
4343,"1 2 3 4 -2 -1 3 -4 -4 -3 4 -3",384,1,-128
4344,"1 2 3 4 -2 -4 2 -1 4 -3 -4 -2",192,1,-64
4345,"1 2 3 4 -3 -2 -4 3 -1 4 -3 -4",192,1,64
4346,"1 2 3 4 -2 -1 4 3 -4 -3 -4 -3",384,1,0
4347,"1 2 3 4 -2 3 -2 -4 2 -3 -1 -3",384,1,-64
4348,"1 2 3 -1 4 -2 -4 -4 3 4 -3 -3",384,1,128
4349,"1 2 3 -2 4 2 -4 -3 -2 3 -1 -3",192,1,64
4350,"1 2 3 4 -2 3 -4 -3 -3 -4 -1 4",384,1,0
4351,"1 2 3 3 4 -1 -3 -3 4 -2 -4 -4",384,1,-256
4352,"1 2 3 4 -2 -3 -2 4 -1 2 -4 -4",384,1,0
4353,"1 2 3 4 4 3 -1 -4 -2 -4 -3 -3",384,1,-128
4354,"1 2 3 4 -2 -3 4 -2 -1 -4 -4 2",384,1,0
4355,"1 2 3 4 4 -3 -4 -2 -4 -3 -1 3",384,1,0
4356,"1 2 3 3 4 -3 -4 -3 -2 -2 -1 2",192,1,0
4357,"1 2 3 4 3 4 -3 -2 -4 -3 -1 -4",384,1,-64
4358,"1 2 3 4 2 3 -4 -3 -2 -1 -3 -2",192,1,64
4359,"1 2 3 4 -2 -3 -4 3 -2 -3 -1 2",384,1,64
4360,"1 2 3 4 -2 -4 -3 4 2 -4 -1 -2",384,1,64
4361,"1 2 3 4 -3 -1 -2 -4 3 4 -3 -4",192,1,64
4362,"1 2 3 4 -1 -2 -3 -4 3 4 -3 -4",192,1,64
4363,"1 2 3 4 -2 -1 4 3 -4 -4 -3 -3",384,1,0
4364,"1 2 3 4 -2 -4 -2 3 -1 -3 -3 2",384,1,0
4365,"1 2 3 4 -1 -4 -2 4 -3 2 -4 -2",192,1,128
4366,"1 2 3 -1 -2 -2 4 -3 -4 3 2 -3",384,1,-128
4367,"1 2 3 4 4 -3 -3 -2 3 -1 -4 -4",384,1,-256
4368,"1 2 3 4 -2 -4 2 -3 -2 3 -1 -3",192,1,-64
4369,"1 2 3 4 -1 -3 -4 -2 3 -4 -3 4",384,1,0
4370,"1 2 3 4 -2 -4 -1 4 2 -3 -4 -2",384,1,-128
4371,"1 2 3 -2 4 3 -1 4 -3 -3 -4 -4",384,1,-128
4372,"1 2 3 4 -2 -3 2 4 -2 -1 -4 -4",384,1,128
4373,"1 2 3 -1 4 -3 -4 -4 -3 4 -2 3",192,1,0
4374,"1 2 3 4 -2 4 -3 -4 3 -4 -1 -3",384,1,64
4375,"1 2 3 4 -2 -3 -4 3 -4 -1 4 -3",384,1,64
4376,"1 2 3 4 -2 -3 -1 -3 -2 -4 3 2",96,1,0
4377,"1 2 3 4 -3 -4 -4 -1 -2 -2 4 2",384,1,128
4378,"1 2 3 4 2 -3 -4 -4 -1 -2 4 -2",384,1,0
4379,"1 2 3 4 3 -4 -3 4 -3 -4 -1 -2",384,1,-64
4380,"1 2 3 4 2 -4 -1 -4 -2 -3 4 -2",384,1,0
4381,"1 2 3 4 3 -1 4 -3 -4 -3 -2 -4",384,1,-128
4382,"1 2 3 4 -1 4 -2 3 -4 -3 -3 -4",384,1,0
4383,"1 2 3 4 2 -4 -3 -2 -4 -1 -2 4",384,1,0
4384,"1 2 3 4 -2 -3 -4 -1 4 2 -4 -2",192,1,-128
4385,"1 2 3 4 3 4 -3 -4 -1 -4 -2 -3",384,1,64
4386,"1 2 3 -1 3 4 -3 -3 4 -2 -4 -4",384,1,-128
4387,"1 2 3 -1 -2 -2 4 3 -4 -3 2 -3",384,1,128
4388,"1 2 3 -2 4 -3 4 3 -4 -4 -1 -3",384,1,0
4389,"1 2 3 4 -2 -3 -4 -4 3 -1 4 -3",192,1,128
4390,"1 2 3 4 -2 -1 -2 4 -3 2 -4 -4",384,1,0
4391,"1 2 3 4 -2 -3 -4 -1 3 4 -3 -4",384,1,64
4392,"1 2 3 4 -3 4 3 -4 -4 -3 -1 -2",384,1,0
4393,"1 2 3 4 2 -1 -2 -3 4 -2 -4 -4",384,1,-128
4394,"1 2 3 4 3 -1 4 -3 -3 -4 -2 -4",384,1,-128
4395,"1 2 3 4 3 -4 -2 -3 -1 -4 -3 4",384,1,-64
4396,"1 2 3 4 -3 4 -3 -4 3 -1 -4 -2",384,1,64
4397,"1 2 3 4 4 3 -1 -4 -3 -3 -2 -4",384,1,0
4398,"1 2 3 4 3 -4 -2 4 -1 -4 -3 -3",384,1,0
4399,"1 2 3 4 -1 -2 -4 -4 -3 -2 4 2",384,1,0
4400,"1 2 3 4 -2 -3 4 2 -4 -1 -4 -2",384,1,0
4401,"1 2 3 4 3 -4 -3 -4 -1 4 -2 -3",384,1,-64
4402,"1 2 3 -1 4 -2 4 3 -4 -4 -3 -3",384,1,128
4403,"1 2 3 -1 4 3 4 -3 -4 -4 -2 -3",384,1,0
4404,"1 2 3 4 -1 -3 -4 -3 -2 -4 3 4",384,1,0
4405,"1 2 3 4 -2 3 -4 -4 -1 -3 -3 4",384,1,-128
4406,"1 2 3 4 3 -1 -3 -4 -2 -4 -3 4",384,1,-64
4407,"1 2 3 4 -3 -1 3 -4 -2 4 -3 -4",192,1,64
4408,"1 2 3 4 -3 -2 4 -1 -3 -4 -4 3",384,1,-128
4409,"1 2 3 4 4 -3 -3 -4 3 -1 -4 -2",384,1,128
4410,"1 2 3 4 -3 -4 3 4 -3 -4 -1 -2",192,1,-64
4411,"1 2 3 4 -2 -3 4 2 -4 -4 -1 -2",384,1,0
4412,"1 2 3 4 -1 -3 4 3 -4 -3 -2 -4",384,1,128
4413,"1 2 3 4 4 -3 -4 -3 -1 3 -2 -4",384,1,0
4414,"1 2 3 -1 4 -3 -3 -2 4 3 -4 -4",384,1,0
4415,"1 2 3 4 -2 -4 -2 -3 -4 2 -1 4",384,1,0
4416,"1 2 3 4 -2 -4 -3 -4 -1 -2 4 2",192,1,64
4417,"1 2 3 -2 4 3 -4 -2 -3 2 -1 -3",192,1,0
4418,"1 2 3 4 -1 4 -2 -3 -4 -2 -4 2",384,1,-128
4419,"1 2 3 4 -1 -2 -4 3 -4 -3 4 -3",192,1,-128
4420,"1 2 3 4 2 -4 3 -2 -1 -3 -3 -2",384,1,0
4421,"1 2 3 4 -1 -3 -4 -4 -3 4 -2 3",384,1,0
4422,"1 2 3 4 -2 4 3 -4 -1 -3 -3 -4",384,1,0
4423,"1 2 3 4 2 4 -1 -2 -4 -3 -2 -4",384,1,-64
4424,"1 2 3 4 -3 -4 -2 -4 -1 -2 4 2",384,1,64
4425,"1 2 3 4 -3 2 4 -2 -4 -1 -4 -2",384,1,0
4426,"1 2 3 4 -1 -3 -3 -4 -2 -4 3 4",384,1,0
